lon,lat,mag,time_string,depth,catalog_id,event_id
29.09,39.1,4.5,2011-05-20T00:58:33,6.0,,99
12.03,43.86,4.2,2011-05-24T22:03:55,5.0,,100
21.13,37.94,5.0,2011-05-25T23:27:50,1.0,,101
21.16,37.93,4.8,2011-05-26T12:56:18,1.0,,102
23.47,35.68,4.6,2011-05-27T17:24:30,10.0,,103
29.04,39.12,5.0,2011-05-28T05:47:17,26.0,,104
22.2,36.35,4.6,2011-06-01T17:18:59,50.0,,105
19.75,40.69,4.4,2011-06-09T16:16:36,10.0,,106
16.5,43.82,4.0,2011-06-17T05:31:00,10.0,,107
27.77,35.23,4.8,2011-06-18T14:57:20,30.0,,108
39.6,38.58,5.4,2011-06-23T07:34:43,5.0,,109
14.76,38.06,4.7,2011-06-23T22:02:46,7.4,,110
29.07,39.15,4.9,2011-06-27T21:14:00,15.0,,111
35.9,37.36,4.4,2011-06-29T19:48:00,5.0,,112
7.58,41.96,4.3,2011-07-02T14:43:00,40.0,,113
26.69,36.49,4.7,2011-07-02T21:30:46,120.0,,114
14.8,38.01,4.1,2011-07-06T09:08:38,7.5,,115
7.6,42.06,5.1,2011-07-07T19:21:48,10.0,,116
29.95,40.25,4.5,2011-07-11T16:09:12,5.0,,117
11.86,43.92,4.3,2011-07-12T06:53:22,7.8,,118
11.85,43.92,4.2,2011-07-12T07:15:00,7.4,,119
11.86,43.93,4.0,2011-07-12T19:20:57,15.0,,120
12.72,42.44,4.0,2011-07-13T09:55:12,15.0,,121
11.41,45.01,4.8,2011-07-17T18:30:23,8.1,,122
20.22,37.42,5.2,2011-07-19T07:13:17,10.0,,123
7.28,44.98,4.7,2011-07-25T12:31:20,25.1,,124
27.75,40.8,5.2,2011-07-25T17:57:21,16.0,,125
31.88,38.33,4.9,2011-07-27T09:58:14,18.0,,126
21.83,38.4,4.9,2011-08-07T14:35:35,5.0,,127
22.02,37.27,5.0,2011-08-14T01:05:00,10.0,,128
17.75,43.06,4.0,2011-08-15T13:08:35,5.0,,129
21.71,37.92,5.1,2011-08-20T02:00:24,7.0,,130
26.58,36.87,4.5,2011-09-10T02:22:16,9.0,,131
26.58,36.89,4.3,2011-09-10T06:06:12,3.0,,132
23.73,34.24,5.2,2011-09-13T16:19:27,10.0,,133
22.05,37.2,4.7,2011-09-14T03:35:28,1.0,,134
38.84,39.79,5.6,2011-09-22T03:22:36,5.0,,135
18.57,42.53,4.2,2011-09-25T13:17:10,2.0,,136
23.67,34.22,5.4,2011-09-27T12:08:19,10.0,,137
23.8,34.1,4.3,2011-09-27T13:06:34,20.0,,138
26.53,45.58,4.7,2011-10-04T02:40:46,150.0,,139
21.62,39.2,4.4,2011-10-04T09:26:29,5.0,,140
22.03,35.74,4.3,2011-10-09T21:23:00,30.0,,141
22.02,37.19,4.8,2011-10-10T19:07:00,1.0,,142
30.21,35.36,4.4,2011-10-12T20:51:33,40.0,,143
9.41,44.53,4.2,2011-10-20T06:11:00,10.0,,144
43.22,38.64,6.0,2011-10-23T20:45:37,10.0,,145
43.39,38.8,5.1,2011-10-24T15:28:00,15.0,,146
43.7,38.86,5.7,2011-10-25T14:55:00,10.0,,147
10.92,45.71,4.1,2011-10-29T04:13:34,15.0,,148
25.65,35.79,4.7,2011-11-06T20:56:50,13.0,,149
43.17,38.74,5.4,2011-11-08T22:05:50,5.0,,150
43.26,38.45,5.8,2011-11-09T19:23:35,6.0,,151
21.82,38.42,4.7,2011-11-10T17:25:39,5.0,,152
22.0,37.17,4.4,2011-11-12T18:28:10,5.0,,153
43.22,38.72,5.3,2011-11-14T22:08:15,10.0,,154
14.67,38.26,4.2,2011-11-15T04:59:00,15.0,,155
43.87,38.85,5.0,2011-11-18T17:39:40,2.0,,156
25.08,34.1,5.5,2011-11-23T12:17:50,10.0,,157
25.02,34.22,4.7,2011-11-23T13:50:00,15.0,,158
43.51,38.42,5.3,2011-11-30T00:47:24,10.0,,159
26.31,38.83,4.7,2011-12-05T08:17:29,15.0,,160
19.28,43.29,4.6,2011-12-12T17:04:43,10.0,,161
12.98,36.02,4.7,2011-12-18T15:01:00,10.0,,162
27.21,37.98,4.3,2011-12-27T05:59:19,10.0,,163
27.3,35.74,4.4,2012-01-07T22:31:31,30.0,,164
10.97,45.54,4.1,2012-01-24T23:54:46,15.0,,165
10.54,44.85,5.0,2012-01-25T08:06:37,33.0,,166
25.07,36.07,5.2,2012-01-26T04:24:59,14.0,,167
25.06,36.04,5.4,2012-01-27T01:33:23,5.0,,168
10.03,44.48,5.0,2012-01-27T14:53:14,50.0,,169
